Search terms report
"September 20, 2025 - October 3, 2025"
Search term,Match type,Added/Excluded,Campaign,Ad group,Impr.,Interactions,Interaction rate,Currency code,Avg. cost,Cost,Campaign type,Conv. rate,Conversions,Cost / conv.
what does dscr mean in real estate,Phrase match (close variant),None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
bank and mortgage,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
lenderclose,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
argentic real estate finance llc,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
what is a bridge loan in real estate,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
loans and mortgage,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
dscr program,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
chattel loans,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
financing a piece of land,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
equity bridge capital,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
how does dscr loan work,Exact match (close variant),None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
california lenders,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,1,100.00%,USD,3.88,3.88,Search,0.00%,0.00,0.00
dscr loans,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
bridgelock capital,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
private hard money loan,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
fund loans capital,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
private mortgage lender,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
loan officer in my area,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
liberty loans,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
hard money loan rates,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,1,100.00%,USD,4.63,4.63,Search,0.00%,0.00,0.00
subprime home loan,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
hard money lenders for home purchase,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
self employed instant loan,Broad match,None,Capital Bridge Solutions,DSCR Loans,3,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
quintess funding,Broad match,None,Capital Bridge Solutions,DSCR Loans,2,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
mortgage lender california,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
dscr heloc,Phrase match (close variant),None,Capital Bridge Solutions,DSCR Loans,2,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
online home loans,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
what is dscr loan,Exact match (close variant),None,Capital Bridge Solutions,DSCR Loans,2,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
california mortgage,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
total lender solutions inc,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
how do you calculate net operating income for dscr loans,Phrase match,None,Capital Bridge Solutions,DSCR Loans,1,1,100.00%,USD,7.33,7.33,Search,0.00%,0.00,0.00
non qm lender,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,1,100.00%,USD,0.68,0.68,Search,0.00%,0.00,0.00
fort capital,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
commercial loans,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
navigate lending,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
commercial mortgage company,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
pooling loans,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
best place to get home loan,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
private mortgage companies,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
mortgage land capital,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
true point lending,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
property loan,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
dscr loan documentation requirements,Phrase match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
subprime home loan,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
investment loans property,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
loan lock prime,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
Total: Search terms,,,,,897,61,6.80%,USD,6.27,382.25,,0.00%,0.00,0.00
Total: Other search terms,,,,,344,20,5.81%,USD,9.27,185.45,,20.00%,4.00,46.36
Total: Account,,,,,"1,241",81,6.53%,USD,7.01,567.70,,4.94%,4.00,141.93
Total: Smart,,,,,0,0, --,USD,0,0.00,Smart,0.00%,0.00,0.00
Total: Search,,,,,"1,241",81,6.53%,USD,7.01,567.70,Search,4.94%,4.00,141.93
